Subject,epoch,count,mean,median,min,max,rmssd,sdnn,sdsd,sd1,sd2,sd_ratio,ellipse_area,fullrange_power,vlf_power,lf_power,hf_power,lf_hf_ratio
example1,epoch #1,404.00000,738.85644,738.50000,586.00000,900.00000,28.22104,49.77085,28.22051,19.95491,67.49872,0.29563,4231.50859,17728.48639,14711.21679,2082.53853,850.51004,2.44858
example1,epoch #2,423.00000,743.87234,742.00000,597.00000,894.00000,36.12108,50.89388,36.12057,25.54110,67.29061,0.37956,5399.38020,17935.64541,14441.08596,2138.80138,1132.69227,1.88825
