Subject,epoch,count,mean,median,min,max,std,rmssd,sdnn,sdsd,sd1,sd2,sd_ratio,ellipse_area,vlf_power,lf_power,hf_power,lf_hf_ratio
ThreePhasesHeartrateBreating,experiment,1284.00000,722.90690,731.10083,464.84150,1116.37915,62.81687,39.00934,62.81687,39.00931,27.58375,84.45764,0.32660,7318.83658,452411.65120,435880.18940,86340.88658,5.04836
ThreePhasesHeartrateBreating,sitting,406.00000,737.59279,735.28946,655.74050,812.33886,28.41058,10.95684,28.41058,10.95668,7.74754,39.42176,0.19653,959.51050,287462.78246,347562.93193,52416.89234,6.63074
ThreePhasesHeartrateBreating,standing,453.00000,661.50199,656.98657,578.85646,800.62078,33.42216,10.33219,33.42216,10.33181,7.30569,46.62141,0.15670,1070.03156,168888.08973,541522.98829,30651.74306,17.66696
ThreePhasesHeartrateBreating,supine,389.00000,782.82994,782.72680,490.87878,1045.38604,31.17000,35.75083,31.17000,35.74624,25.27641,35.27865,0.71648,2801.41324,128417.19247,95433.03568,50658.05256,1.88387
